Nível;Indicador;2006;2007;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Unidade
1;Veículo;918762;1018501;1227917;1340071;1438723;1519438;1596081;1664487;1714233;1783961;1907891;2075823;2279568;2274465;2381561;veículos
1.1;Tipo;;;;;;;;;;;;;;;;
1.1.1;Automóvel;665454;730723;871446;944897;1005634;1055190;1101919;1141458;1173626;1223305;1317214;1436780;1576738;1549873;1596427;veículos
1.1.2;Bonde;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;veículos
1.1.3;Caminhão;25048;26547;29295;31526;33457;34181;35642;36283;35689;35397;34773;35328;36293;36774;37561;veículos
1.1.4;Caminhão trator;2130;2360;2899;3211;3440;3639;3780;4143;4299;4336;4473;4675;5532;6204;7443;veículos
1.1.5;Caminhonete;46604;59782;83502;95196;104893;113620;121558;129821;134596;140902;154826;176248;204144;216780;247602;veículos
1.1.6;Camioneta;50979;46180;42401;47734;53710;61115;68304;76994;80963;87231;93929;108024;124222;121821;133148;veículos
1.1.7;Chassi plataforma;56;40;22;15;14;11;10;10;10;10;10;10;10;10;10;veículos
1.1.8;Ciclomotor;175;173;210;262;368;489;539;579;717;969;1037;1079;1114;1119;1133;veículos
1.1.9;Micro-ônibus;3985;3887;4453;4783;5465;5653;5939;6201;6265;6246;6288;6332;6628;6780;6715;veículos
1.1.10;Motocicleta;92982;112975;149128;163913;178480;188445;197150;204016;209963;214263;219840;227312;236968;242840;250857;veículos
1.1.11;Motoneta;6949;8537;11167;12089;13006;13826;14746;15880;16953;17606;18425;19241;20506;21266;22981;veículos
1.1.12;Ônibus;6721;7039;7769;7992;8465;8739;8903;8989;8769;8769;8761;8767;9420;9465;9406;veículos
1.1.13;Quadriciclo;1;1;1;1;1;1;1;1;1;1;1;1;3;1;2;veículos
1.1.14;Reboque;12505;13289;14672;15509;16356;16896;17333;17770;18140;18594;19117;19724;20378;20971;21765;veículos
1.1.15;Semi-reboque;2712;2990;3587;3878;4172;4296;4433;4273;4226;4369;4361;4685;4948;5498;5496;veículos
1.1.16;Sidecar;20;24;23;22;22;21;21;21;21;21;21;21;21;21;21;veículos
1.1.17;Trator de esteira;5;8;11;12;13;15;14;14;13;13;13;12;12;12;12;veículos
1.1.18;Trator de rodas;184;216;255;269;284;279;282;276;289;285;287;286;293;298;293;veículos
1.1.19;Triciclo;43;78;179;239;344;383;382;402;418;440;443;454;804;799;789;veículos
1.1.20;Utilitário;2090;3547;6798;8414;10480;12505;14977;17186;19083;20945;23794;26550;31137;33441;39415;veículos
1.1.21;Outros;114;104;99;109;119;134;148;170;192;259;278;294;397;492;485;veículos



Fonte: Ministério da Infraestrutura, Secretaria Nacional de Trânsito - SENATRAN - 2021
